page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName,id
34,2023-06-16,2023-06-16,Buch-Upcycling: Stimmungsvolle Leuchten aus Büchern,https://www.eventbrite.de/e/buch-upcycling-stimmungsvolle-leuchten-aus-buchern-tickets-562148269607,DE,Berlin,,Auguste-Viktoria-Allee 99,13403,52.5688812,13.327874,NochMall,562148269607
34,2023-06-22,2023-06-22,Bridge Markland: nathan in the box,https://www.eventbrite.de/e/bridge-markland-nathan-in-the-box-tickets-558796634777,DE,Berlin,Berlin,Caligariplatz 1,13086,52.5526134,13.430481800000052,Brotfabrik,558796634777
34,2023-06-20,2023-06-20,Wine & Cheese Pairing in English (Berlin),https://www.eventbrite.com/e/wine-cheese-pairing-in-english-berlin-tickets-638615254417,DE,Berlin,BE,Sredzkistraße 36,10435,52.5381234,13.4182109,FIND YOUR WINE MATCH,638615254417
34,2023-06-21,2023-06-21,Aurora vol. II. Memory Jars with  Sujatro Ghosh,https://www.eventbrite.co.uk/e/aurora-vol-ii-memory-jars-with-sujatro-ghosh-tickets-625099347977,DE,Berlin,BE,Donaustraße 84,12043,52.4790678,13.44168,TIER - The Institute for Endotic Research,625099347977
34,2023-06-10,2023-06-10,Mindfulness in the midst of stress,https://www.eventbrite.de/e/mindfulness-in-the-midst-of-stress-tickets-637411162947,DE,Berlin,BE,Mahlower Straße 5,12049,52.4800724,13.4237676,raum 5- Praxis für Körperarbeit,637411162947
34,2023-06-26,2023-06-27,Aftershow Party Paul Natorp Gymnasium 2023,https://www.eventbrite.de/e/aftershow-party-paul-natorp-gymnasium-2023-tickets-639366100217,DE,Berlin,Berlin,Wiebestr. 42,10553,52.52798,13.31894,Loewe Saal,639366100217
34,2023-06-22,2023-06-22,RIP THAT RIFF _ Stand Up and Improv Comedy Extravaganza,https://www.eventbrite.de/e/rip-that-riff-stand-up-and-improv-comedy-extravaganza-tickets-635859933177,DE,Berlin,BE,Bergstraße 2,10115,52.5294848,13.3956931,Z-Bar,635859933177
34,2023-06-16,2023-06-17,Die Early Bird Party: Der frühe Vogel tanzt den Beat,https://www.eventbrite.de/e/die-early-bird-party-der-fruhe-vogel-tanzt-den-beat-tickets-600751583157,DE,Berlin,BE,Kaiser-Friedrich-Straße 67,10627,52.509285,13.30231,ART Stalker - Kunst + Bar + Events,600751583157
34,2023-06-21,2023-06-21,The Nonsense Show - Stand Up Comedy Show in English,https://www.eventbrite.com/e/the-nonsense-show-stand-up-comedy-show-in-english-tickets-645253880727,DE,Berlin,BE,Bergstraße 2,10115,52.5294848,13.3956931,Z-Bar,645253880727
34,2023-06-12,2023-06-12,Conscious Connected Breathwork (Open Air im Garten),https://www.eventbrite.de/e/conscious-connected-breathwork-open-air-im-garten-tickets-594489302507,DE,Berlin,Berlin,Berliner-Allee 155,13088,52.5525206,13.466263,Weißensee,594489302507
34,2023-09-04,2023-09-05,Edible Cities Network Final Project Meeting,https://www.eventbrite.com/e/edible-cities-network-final-project-meeting-tickets-596982128617,DE,Berlin,BE,Schloßplatz 1,10178,52.517277,13.4016359,Humboldt Forum,596982128617
34,2023-06-08,2023-06-08,Afro Cuban dance rites (open-air),https://www.eventbrite.de/e/afro-cuban-dance-rites-open-air-tickets-606859100907,DE,Berlin,Berlin,Katzbachstr. 18,10965,52.4851555,13.3774601,Viktoriapark,606859100907
